Question,Answer,Intent
هل أقدر أدرس ذكاء اصطناعي وأنا ما عندي أساس بالبرمجة؟,"نعم، المناهج تبدأ من الصفر لتعليم أساسيات البرمجة قبل الدخول في التخصص",Student_Role
شنو المواد المشتركة بين كل هذي الأقسام؟,"البرمجة بلغة Python، قواعد البيانات، وشبكات الحاسوب",Key_Courses
أي قسم منهم يتيح لي العمل عن بعد (Freelance) أكثر؟,"التصميم الرقمي والحوسبة المتنقلة والذكاء الاصطناعي",Simple_Example
هل يحتاج الذكاء الاصطناعي لغات برمجية معينة؟,"بشكل أساسي لغة Python و R و C++",Key_Courses
شنو الفرق بين التصميم الرقمي والـ UI/UX؟,"التصميم الرقمي عام، الـ UI/UX متخصص في واجهات وتجربة المستخدم للتطبيقات",Department_Definition
هل دراسة الأمن السيبراني تتطلب دراسة "الهكر الأخلاقي"؟,"نعم، جزء أساسي من الدراسة هو تعلم كيفية التفكير كالمخترق لحماية الأنظمة",Key_Courses
شنو الفرق بين الحاسوب والحوسبة المتنقلة؟,"الحاسوب عام، أما الحوسبة المتنقلة تركز كلياً على الأنظمة اللاسلكية وتطبيقات الموبايل",Department_Definition
أي قسم أفضل لشخص يحب الابتكار والاختراع؟,"الذكاء الاصطناعي لأنه يعتمد على خلق حلول جديدة لم تكن موجودة",Department_Definition
هل يوجد تدريب صيفي في هذه الاختصاصات؟,"نعم، أغلب الأقسام توفر تدريب ميداني لزيادة الخبرة العملية",Study_Type
شلون أتأكد إن ذكائي الاصطناعي أو برنامجي آمن؟,"من خلال تطبيق مبادئ الأمن السيبراني أثناء عملية البرمجة",Department_Definition
هل أحتاج إنترنت سريع دائماً للدراسة؟,"نعم، للوصول للمصادر البرمجية السحابية والمكتبات الرقمية",Department_Definition
شنو يعني "مشروع تخرج" في هذه الأقسام؟,"هو تطبيق عملي (برنامج أو تصميم أو نظام) يحل مشكلة واقعية في نهاية الدراسة",Study_Type
هل أقدر أدمج بين الذكاء الاصطناعي والأمن السيبراني؟,"نعم، وهذا يسمى (AI for Cybersecurity) وهو من أقوى المجالات حالياً",Department_Definition
شنو الفرق الجوهري بين الذكاء الاصطناعي والحوسبة المتنقلة؟,"الذكاء الاصطناعي يهتم بـ 'ذكاء' النظام وقدرته على اتخاذ القرار، بينما الحوسبة المتنقلة تهتم بـ 'بيئة' العمل وهي الهواتف والأجهزة المحمولة",Department_Definition
شنو الفرق بين الأمن السيبراني والحوسبة المتنقلة؟,"الأمن السيبراني يركز على سد الثغرات وحماية البيانات، أما الحوسبة المتنقلة فتركز على بناء وتطوير التطبيقات والأنظمة اللاسلكية",Department_Definition
منو أصعب من ناحية البرمجة: الذكاء الاصطناعي أم التصميم الرقمي؟,"الذكاء الاصطناعي يتطلب برمجة معقدة ورياضيات، بينما التصميم الرقمي يتطلب برمجة واجهات بسيطة مع تركيز عالي على الجمالية",Study_Type
شنو الفرق بين مهندس العمارة ومصمم الواجهات الرقمية؟,"المعمارى يصمم مساحات في الواقع المادي (بيوت ومباني)، بينما المصمم الرقمي يصمم مساحات في الواقع الافتراضي (تطبيقات ومواقع)",Department_Definition
أي قسم يركز على 'المنطق' وأي قسم يركز على 'الخيال'؟,"الذكاء الاصطناعي والأمن السيبراني يعتمدان على المنطق، بينما العمارة والتصميم الرقمي يعتمدان أكثر على الخيال والإبداع",Suitable_Hobbies
شنو الفرق بين تحليل البيانات في الذكاء الاصطناعي وفي الأمن السيبراني؟,"في الذكاء الاصطناعي نحلل البيانات لنتوقع المستقبل، وفي الأمن السيبراني نحللها لنكتشف أثر اختراق أو هجوم سابق",Department_Definition
أي قسم أقرب لسوق العمل الحر (Freelance)؟,"التصميم الرقمي والحوسبة المتنقلة هما الأسرع في دخول سوق العمل الحر، يليهما الذكاء الاصطناعي",Simple_Example
منو يحتاج رياضيات أكثر: الأمن السيبراني أم العمارة؟,"الأمن السيبراني يحتاج رياضيات التشفير والمنطق، أما العمارة فتحتاج رياضيات المساحات والقياسات والهندسة الوصفية",Department_Definition
شنو الفرق بين وظيفة مبرمج تطبيقات ومبرمج ذكاء اصطناعي؟,"مبرمج التطبيقات يبني واجهات وتفاعل للمستخدم، مبرمج الذكاء يبني خوارزميات خلفية تحلل وتفكر",Simple_Example
أي قسم يتطلب تحديثاً للمعلومات بشكل أسرع؟,"الأمن السيبراني والذكاء الاصطناعي لأن التهديدات والتقنيات فيهما تتغير حرفياً كل يوم",Study_Type
شنو الفرق بين الأمن السيبراني والذكاء الاصطناعي من ناحية "الهدف"؟,"الذكاء الاصطناعي يهدف لبناء أنظمة تحاكي البشر، بينما الأمن السيبراني يهدف لحماية تلك الأنظمة وغيرها من التهديدات",Department_Definition
أي قسم يركز على "البناء" وأي قسم يركز على "الدفاع"؟,"الحوسبة المتنقلة والعمارة تركز على البناء (Construction)، بينما الأمن السيبراني يركز على الدفاع (Defense)",Study_Type
شنو الفرق بين المصمم الرقمي والمهندس المعماري في استخدام الأدوات؟,"المصمم الرقمي يستخدم أدوات مثل Figma وAdobe، بينما المعماري يستخدم AutoCAD وRevit للتصاميم الإنشائية",Key_Courses
أي قسم دراسته تعتمد على "التجارب" وأي قسم على "الأكواد"؟,"العمارة والتصميم الرقمي تعتمد على التجارب البصرية، بينما الذكاء الاصطناعي والحوسبة تعتمد على كتابة الأكواد البرمجية",Study_Type
شنو الفرق بين مبرمج الذكاء الاصطناعي ومبرمج الحوسبة المتنقلة؟,"الأول يبرمج 'عقل' النظام (خلف الكواليس)، والثاني يبرمج 'واجهة' النظام اللي يلمسها المستخدم بيده",Simple_Example
منو يحتاج "خيال واسع" أكثر: التصميم الرقمي أم الأمن السيبراني؟,"التصميم الرقمي يحتاج خيال فني وجمالي، بينما الأمن السيبراني يحتاج خيال 'تكتيكي' لتوقع طرق الاختراق",Suitable_Hobbies
شنو الفرق بين الذكاء الاصطناعي وعلوم البيانات في سوق العمل؟,"خبير الذكاء يبني روبوتات وبرامج ذكية، أما خبير البيانات فيقدم تقارير واستشارات للمدراء لاتخاذ القرارات",Simple_Example
أي قسم يحتاج "صبر" في حل المشاكل التقنية (Debugging) أكثر؟,"الذكاء الاصطناعي والأمن السيبراني بسبب تعقيد الأكواد وصعوبة تتبع الثغرات مقارنة ببقية الأقسام",Study_Type
شنو الفرق بين العمارة والتصميم الرقمي من حيث "المنتج النهائي"؟,"المنتج في العمارة هو مبنى مادي ملموس، بينما في التصميم الرقمي هو تطبيق أو موقع أو واجهة تفاعلية",Department_Definition
أي قسم هو الأنسب لشخص يحب "الإحصاء والأرقام"؟,"الذكاء الاصطناعي هو الأنسب بلا منازع لارتباطه الوثيق بالإحصاء والاحتمالات",Suitable_Hobbies


